Using GATK jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx30G -XX:ParallelGCThreads=4 -jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar GenotypeGVCFs -R /export/home/andrew/genome/hg38_v0_20231023/Homo_sapiens_assembly38.fasta -L chr2 -V called.chr2.recal.g.vcf.gz -O genotype.chr2.vcf.gz
00:32:54.754 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
00:32:54.973 INFO  GenotypeGVCFs - ------------------------------------------------------------
00:32:54.978 INFO  GenotypeGVCFs - The Genome Analysis Toolkit (GATK) v4.5.0.0
00:32:54.978 INFO  GenotypeGVCFs - For support and documentation go to https://software.broadinstitute.org/gatk/
00:32:54.978 INFO  GenotypeGVCFs - Executing as andrew@compute-0-2 on Linux v5.15.0-102-generic amd64
00:32:54.978 INFO  GenotypeGVCFs - Java runtime: OpenJDK 64-Bit Server VM v19.0.2+7-Ubuntu-0ubuntu322.04
00:32:54.979 INFO  GenotypeGVCFs - Start Date/Time: May 4, 2024 at 12:32:54 AM UTC
00:32:54.979 INFO  GenotypeGVCFs - ------------------------------------------------------------
00:32:54.979 INFO  GenotypeGVCFs - ------------------------------------------------------------
00:32:54.981 INFO  GenotypeGVCFs - HTSJDK Version: 4.1.0
00:32:54.981 INFO  GenotypeGVCFs - Picard Version: 3.1.1
00:32:54.981 INFO  GenotypeGVCFs - Built for Spark Version: 3.5.0
00:32:54.981 INFO  GenotypeGVCFs - HTSJDK Defaults.COMPRESSION_LEVEL : 2
00:32:54.982 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
00:32:54.982 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
00:32:54.982 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
00:32:54.983 INFO  GenotypeGVCFs - Deflater: IntelDeflater
00:32:54.983 INFO  GenotypeGVCFs - Inflater: IntelInflater
00:32:54.983 INFO  GenotypeGVCFs - GCS max retries/reopens: 20
00:32:54.983 INFO  GenotypeGVCFs - Requester pays: disabled
00:32:54.985 INFO  GenotypeGVCFs - Initializing engine
00:32:55.534 INFO  FeatureManager - Using codec VCFCodec to read file file:///export/home/andrew/genome/analysis_onelane/called.chr2.recal.g.vcf.gz
00:32:55.878 INFO  IntervalArgumentCollection - Processing 242193529 bp from intervals
00:32:55.973 INFO  GenotypeGVCFs - Done initializing engine
00:32:56.198 INFO  ProgressMeter - Starting traversal
00:32:56.200 INFO  ProgressMeter -        Current Locus  Elapsed Minutes    Variants Processed  Variants/Minute
00:32:56.323 WARN  ReferenceConfidenceVariantContextMerger - Detected invalid annotations: When trying to merge variant contexts at location chr2:10286 the annotation MLEAC=[1, 0] was not a numerical value and was ignored
00:32:56.411 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position chr2:10286 and possibly subsequent; at least 10 samples must have called genotypes
00:33:06.202 INFO  ProgressMeter -         chr2:1588874              0.2                190000        1139886.0
00:33:16.210 INFO  ProgressMeter -         chr2:4886427              0.3                609000        1826269.5
00:33:26.220 INFO  ProgressMeter -         chr2:8202587              0.5               1088000        2174622.7
00:33:36.233 INFO  ProgressMeter -        chr2:11529224              0.7               1565000        2345682.1
00:33:46.243 INFO  ProgressMeter -        chr2:14792333              0.8               2071000        2483114.2
00:33:56.248 INFO  ProgressMeter -        chr2:18279222              1.0               2561000        2558995.5
00:34:06.253 INFO  ProgressMeter -        chr2:21677804              1.2               3059000        2620053.7
00:34:16.267 INFO  ProgressMeter -        chr2:25035009              1.3               3561000        2668548.4
00:34:26.284 INFO  ProgressMeter -        chr2:28328376              1.5               4074000        2713497.6
00:34:36.288 INFO  ProgressMeter -        chr2:31535770              1.7               4566000        2737218.6
00:34:46.305 INFO  ProgressMeter -        chr2:34975508              1.8               5066000        2760662.6
00:34:56.308 INFO  ProgressMeter -        chr2:38290601              2.0               5557000        2776024.7
00:35:06.319 INFO  ProgressMeter -        chr2:41541412              2.2               6054000        2791619.9
00:35:16.320 INFO  ProgressMeter -        chr2:44839483              2.3               6557000        2807756.3
00:35:26.336 INFO  ProgressMeter -        chr2:48071506              2.5               7059000        2821061.0
00:35:36.341 INFO  ProgressMeter -        chr2:51622313              2.7               7558000        2831772.2
00:35:46.344 INFO  ProgressMeter -        chr2:55176182              2.8               8053000        2839846.5
00:35:56.349 INFO  ProgressMeter -        chr2:58481024              3.0               8554000        2849006.6
00:36:06.365 INFO  ProgressMeter -        chr2:61880613              3.2               9068000        2861109.4
00:36:16.367 INFO  ProgressMeter -        chr2:65068571              3.3               9580000        2871616.6
00:36:26.383 INFO  ProgressMeter -        chr2:68588924              3.5              10081000        2877805.3
00:36:36.395 INFO  ProgressMeter -        chr2:71873954              3.7              10589000        2885377.8
00:36:46.410 INFO  ProgressMeter -        chr2:75146586              3.8              11107000        2894860.3
00:36:56.425 INFO  ProgressMeter -        chr2:78778624              4.0              11598000        2896796.3
00:37:06.429 INFO  ProgressMeter -        chr2:82399790              4.2              12107000        2903032.4
00:37:16.434 INFO  ProgressMeter -        chr2:86048486              4.3              12615000        2908547.3
00:37:26.449 INFO  ProgressMeter -        chr2:91788496              4.5              13104000        2909327.7
00:37:36.465 INFO  ProgressMeter -        chr2:97838209              4.7              13606000        2912825.1
00:37:46.485 INFO  ProgressMeter -       chr2:101351820              4.8              14125000        2919554.6
00:37:56.491 INFO  ProgressMeter -       chr2:104998390              5.0              14634000        2923973.5
00:38:06.506 INFO  ProgressMeter -       chr2:108683932              5.2              15133000        2926088.8
